class,model_name,description,status,proposed
Log Eastern,48LF4X5T V2018,48 ft. Quad 5 Tier Taper Frame - NB,0,1
Dump,28DPT2X,28 ft. Tandem Pup Chassie,0,1
Machinery,35MD2X48,35 Ton Tandem Mechanical - 48 Ft.,0,0
Machinery,35MD2X53,35 Ton Tandem Mechanical - 53 ft.,0,0
Machinery,35MD2X BT,35 Ton Tandem Beaver Tail,0,1
Highway,53HD4X,53 ft. Quad Drop Deck,0,0
Hydraulics,35HDG2X53 AGC,35 Ton Tandem 53 ft. Agri - Chopper,0,1
Chassis,22CC2X,22 Ft. Tandem Container Chassis,0,0
Machinery,35DD2X BT,35 Ton Double Drop Beaver Tail,0,1
Container Chassis,30DT3X-CHASSIS,30 ft. Dump Chassis,0,1
Equipment,53ET4X MR,53 ft. Quad Manual Ramp,0,0
Equipment,53ET3X MR EAST,53 ft. Tridem Manual Ramp,0,0
Machinery,35MD2X48 P,35 Ton Tandem Mechanical - 48 Ft.Pin Deck,0,1
Nuclear,50DD4X,50 ft. Quad Double Drop,0,0
Hydraulics,35HDG2X53 AGNR,35 Ton Tandem 53 ft. Agri - Non RTAC,0,0
Highway,28HBT3X,28 ft. Tridem Pull B Train,1,0
Highway,32HBT3X 2018,32 ft. Tridem Lead B-Train,0,0
Highway,53HD3X 2018,53 ft. Tridem Drop Deck,0,0
Highway,48HF4X,48 ft. Quad Flat Deck,0,0
Paving & Recovery,53ET4XP,53 ft. Quad,0,0
Converters/Boosters,22CD2X,22 Ton Converter Dolly Tandem,0,1
Container Chassis,53VT2VSAT Frito Lay US 2018,53 ft. 2 Van - Single Axle Truck Frito Lay US,1,1
Dump,38ALB3XS,38 ft. Triaxle,0,1
Equipment,53ET4X,53 ft. Quad,0,0
Snow & Ice Control,SPUD KIT 4300,BULK BODY SPUD 4300,0,1
Log Western,51LF3X3T PEAK,51 ft. Tridem 3 Tier Taper Frame,0,1
Log Eastern,46LD3X4T V2016,46 ft. Tridem 4 Tier Drop Frame,1,1
Highway,50HF5X,50 ft. 5 Axle Flat Deck,0,0
Chassis,42CC3X,42 Ft. Container Chassis,0,0
Log Eastern,48LF3X5T V2018,48 ft. Tridem 5  Tier Taper Frame,0,0
Container Chassis,53VT2V FL CA,53 ft. 2 Van - Frito Lay Canada,0,0
Nuclear,51DD3X HD,51 ft. Tridem Double Drop,0,1
Nuclear,50DD3X,50 ft. Tridem Double Drop,0,0
Dump,36ALB2X,36 ft. Tandem,0,1
Log Eastern,48LD3X5T V2018,48 ft. Tri 5 Tier Drop Frame,0,0
Hydraulics,55HDG3X BTHH AG,55 Ton Tridem Beavertail - Heavy Haul AG,0,0
Dump,32DT3X V2018,32 ft. Tridem 1/4 Frame U-Body,0,0
Oilfield,50SN3X 2018,50 Ton Tridem Scissorneck,0,1
Chassis,20CC2X,20 ft. Tandem Pull B-Train,0,0
Chassis,20CC3X,20 ft. Tridem Lead B-Train,0,0
Dump,41ALB3X,41 ft. Tridem,0,1
Log Western,37LBT3X PEAK,37 ft. Tridem 2 Tier Lead B-Train - Western,0,0
Hydraulics,55HDG3X SBHH AG,55 Ton Tridem Square Back - Heavy Haul,0,0
Oilfield,50SN3X,50 Ton Tridem Scissorneck,0,1
Machinery,45MD3X EXT,45 Ton Tridem Mechanical Extendable,0,1
Nuclear,53DD4X,53 ft. Quad Double Drop,0,0
