dealer,model,slot,market,freight,date
4,41ALB3X <DUMP>,44.0,0.0,0.0,2021-05-17
4,27DT2X V2018 <DUMP>,44.0,0.0,0.0,2021-05-17
4,53EWF4X <DUMP>,44.0,0.0,0.0,2021-05-17
4,SFUB2X <DUMP>,44.0,0.0,0.0,2021-05-17
4,37DT2X <DUMP>,44.0,0.0,0.0,2021-05-17
4,27DT2XU <DUMP>,44.0,0.0,0.0,2021-05-17
4,37DT4X FF <DUMP>,44.0,0.0,0.0,2021-05-17
4,48ALB4X <DUMP>,44.0,0.0,0.0,2021-05-17
4,39ALB3X <DUMP>,44.0,0.0,0.0,2021-05-17
4,37DT2X HV <DUMP>,44.0,0.0,0.0,2021-05-17
4,27DT2X HV <DUMP>,44.0,0.0,0.0,2021-05-17
4,40JD2X WL <JEEP DOLLY>,44.0,0.0,0.0,2021-05-17
4,40JD2X OF <JEEP DOLLY>,44.0,0.0,0.0,2021-05-17
4,20JD1X HP <JEEP DOLLY>,44.0,0.0,0.0,2021-05-17
4,20JD1X LP <JEEP DOLLY>,44.0,0.0,0.0,2021-05-17
4,40JD2X HG <JEEP DOLLY>,44.0,0.0,0.0,2021-05-17
4,60JD3X HG <JEEP DOLLY>,44.0,0.0,0.0,2021-05-17
4,JD2+1X <JEEP DOLLY>,44.0,0.0,0.0,2021-05-17
4,JD2X <JEEP DOLLY>,44.0,0.0,0.0,2021-05-17
4,25VT2V DCI <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,40VT2V Mexico <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,51VT4V DCI <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,53VT2V DCI <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,53VT2V Penske <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,53VT3V DCI <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,38GT1X <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,48GT2X <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,51VT2V DCI <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,12GT1X <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,26VT1V Mexico <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,42VT2V Mexico <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,30DT3X-CHASSIS <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,53VT2V FL CA <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
4,53VT2V FL CA-97 <CONTAINER CHASSIS>,44.0,0.0,0.0,2021-05-17
