IDStd,Model No,Standard No,Group,Section,Description,Start Date,End Date,SortG,SortSe,Selection,SortGv2,SortSev2,New Spec Wording
11944393,Pony Dump 3X17,Pony Dump 3X17-103,SUSPENSION/AXLES,Air Gauge,"Located in Control Box",NULL,NULL,NULL,NULL,NULL,40,160,NULL
11944394,Pony Dump 3X17,Pony Dump 3X17-027,GENERAL SPECIFICATIONS,Tailgate Lights,"No",NULL,NULL,10,3,NULL,73,50,NULL
11944395,Pony Dump 3X17,Pony Dump 3X17-048,CHASSIS,Frame Length,"40 ft.  10 in.",NULL,NULL,NULL,NULL,NULL,28,20,NULL
11944396,Pony Dump 3X17,Pony Dump 3X17-058,BODY,Slope,"Full Slope",NULL,NULL,NULL,NULL,NULL,34,300,NULL
11944397,Pony Dump 3X17,Pony Dump 3X17-060,BODY,Hoist Pin Height,"35 3/4 in.",NULL,NULL,NULL,NULL,NULL,34,280,NULL
11944398,Pony Dump 3X17,Pony Dump 3X17-063,BODY,Spreader Chains,"Included, Used to control the opening of the tailgate",NULL,NULL,NULL,NULL,NULL,34,250,NULL
11944399,Pony Dump 3X17,Pony Dump 3X17-077,BODY,Floor,"1/4 in. 6061",NULL,NULL,NULL,NULL,NULL,34,110,NULL
11944400,Pony Dump 3X17,Pony Dump 3X17-081,BODY,Walls,"Dura-Wall, Polished",NULL,NULL,NULL,NULL,NULL,34,70,NULL
11944401,Pony Dump 3X17,Pony Dump 3X17-095,TRAILER,Overall Length,"40 ft. 10 in.",NULL,NULL,NULL,NULL,NULL,1,10,NULL
11944402,Pony Dump 3X17,Pony Dump 3X17-108,GENERAL SPECIFICATIONS,Rear Plate,"Stainless with Stargate cutout",NULL,NULL,NULL,NULL,NULL,73,70,NULL
11944403,Pony Dump 3X17,Pony Dump 3X17-015,SUSPENSION/AXLES,Suspension,"2 of Hendrickson Intraax, #98856 and 1 of IMT Liftable Self Steer, 15 in. Ride Height",NULL,NULL,7,3,NULL,40,30,NULL
11944404,Pony Dump 3X17,Pony Dump 3X17-051,BODY,Header Pipe Type,"Straight, located on back door for two way gate",NULL,NULL,NULL,NULL,NULL,34,370,NULL
11944405,Pony Dump 3X17,Pony Dump 3X17-064,BODY,Tailgate Seal,"5/8 in. Aluminum Round Rod",NULL,NULL,NULL,NULL,NULL,34,240,NULL
11944406,Pony Dump 3X17,Pony Dump 3X17-084,CHASSIS,Coupler,"Bolt on Eye.",NULL,NULL,NULL,NULL,NULL,28,90,NULL
11944407,Pony Dump 3X17,Pony Dump 3X17-106,GENERAL SPECIFICATIONS,Front Connector,"Phillip #15-730 and 15-830 ISO Plug",NULL,NULL,NULL,NULL,NULL,73,20,NULL
11944408,Pony Dump 3X17,Pony Dump 3X17-021,SUSPENSION/AXLES,Hubs & Drums,"10 Stud, Duralite Hubs with Centrifuse Drums",NULL,NULL,7,9,NULL,40,180,NULL
