ID#,Model No,Option No,Start Date,End Date,Price,Sections,Description,Weight,Width,Deck Length,Spread,SortSe,Draw/Part#,Std Hours,Obsolete,Selection,New Option Wording,OptionInfo,OptionPromptFlag,OptionPrompt,OptionConfigInfo,Option_timestamp,US Price
5442595,Pony Dump 3X17,Pony Dump 3X17-29,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,386.6000,ACCESSORIES,"10 in. Tailgate Wing",NULL,NULL,NULL,NULL,17,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBBB,297.3800
5442596,Pony Dump 3X17,Pony Dump 3X17-30,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,494.8500,SUSPENSION/AXLES,"24.5 Rims",NULL,NULL,NULL,NULL,13,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBBC,380.6500
5442597,Pony Dump 3X17,Pony Dump 3X17-31,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,371.1300,SUSPENSION/AXLES,"24.5 Continental HSR 2 Tires",NULL,NULL,NULL,NULL,13,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBBD,285.4900
5442598,Pony Dump 3X17,Pony Dump 3X17-32,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,2288.6600,SUSPENSION/AXLES,"22.5 Durabrite Alum. Wheel Pkg. (12 of Durabrite)",NULL,NULL,NULL,NULL,13,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBBE,1760.5100
5442599,Pony Dump 3X17,Pony Dump 3X17-33,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,2350.5200,SUSPENSION/AXLES,"24.5 Durabrite Alum. Wheel Pkg. (12 Durbarite)",NULL,NULL,NULL,NULL,13,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBBF,1808.0900
5442600,Pony Dump 3X17,Pony Dump 3X17-34,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,670.1000,ACCESSORIES,"Grain Door",NULL,NULL,NULL,NULL,17,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBC0,515.4600
5442601,Pony Dump 3X17,Pony Dump 3X17-35,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,185.5700,ACCESSORIES,"Compression Locks 1 per side",NULL,NULL,NULL,NULL,17,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBC1,142.7400
5442602,Pony Dump 3X17,Pony Dump 3X17-36,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,927.8400,ACCESSORIES,"Man Door",NULL,NULL,NULL,NULL,17,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBC2,713.7200
5442603,Pony Dump 3X17,Pony Dump 3X17-37,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,386.6000,PAINT,"Frame Paint Solid Color (other than black)",NULL,NULL,NULL,NULL,21,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBC3,297.3800
5442604,Pony Dump 3X17,Pony Dump 3X17-38,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,257.7300,CHASSIS,"Heavy Duty Jost Landing Gear",NULL,NULL,NULL,NULL,28,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBC4,198.2600
5442605,Pony Dump 3X17,Pony Dump 3X17-39,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,2319.5900,BODY,"3/8 Floor (5083) with fork lift package",NULL,NULL,NULL,NULL,3,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBC5,1784.3000
5442606,Pony Dump 3X17,Pony Dump 3X17-40,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,1005.1500,ACCESSORIES,"Fork Lift Package",NULL,NULL,NULL,NULL,17,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBC6,773.2000
5442607,Pony Dump 3X17,Pony Dump 3X17-41,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,670.1000,SUSPENSION/AXLES,"Schrader Valve in control box for use with Air System in Lift Axle",NULL,NULL,NULL,NULL,13,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBC7,515.4600
5442608,Pony Dump 3X17,Pony Dump 3X17-42,2020-09-01 00:00:00.000,2021-07-01 00:00:00.000,309.2800,ACCESSORIES,"Curved Header Pipe",NULL,NULL,NULL,NULL,17,NULL,NULL,0,0,NULL,NULL,0,NULL,NULL,0x00000002515FDBC8,237.9100
