Text0,Text5,Text12,Text10,Text13,Text14,JobDesc,Text68,Text25,Text27,Text29,Text31,Text33,Text35,Text66,Text15,Text17,Text19,Text21,Text23,Text67,StockCode,StockDescription,Uom,WarehouseToUse,QtyRequired,QtyIssued,QtyVariance,ValueRequried,,ValueIssued,,Variance,,Text37,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,06808,HEAT SHRINK & SOLDER SPLICE CO,EA,04,1,0,-1,0.6,,0,,-0.6,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,06834,"HARNESS # 66123  10' 9""",EA,04,1,0,-1,6.62,,0,,-6.62,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,07060,FIT TEE 3/8AIRx3/8AIRx3/8AIR,EA,04,12,0,-12,41.04,,0,,-41.04,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,07063,FIT STR 3/8AIRx1/4MNPT,EA,04,6,0,-6,10.92,,0,,-10.92,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,07065,FIT 90 3/8AIRx1/4MNPT,EA,04,7,0,-7,15.54,,0,,-15.54,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,07066,FIT 90 1/2AIRx3/8MNPT,EA,04,3,0,-3,10.53,,0,,-10.53,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,07069,FIT 90 3/8AIRx1/8MNPT,EA,04,2,0,-2,4.47,,0,,-4.47,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,07082,NIPPLE 1/8 CLOSE   112-A,EA,04,2,0,-2,0.54,,0,,-0.54,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,07100,FIT TEE 3/8AIRx3/8AIRx3/8MNPT,EA,04,1,0,-1,3.8,,0,,-3.8,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,07109,FITTING 1/2 TUBE X 3/8 NPT STR,EA,04,14,0,-14,40.22,,0,,-40.22,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,07128,FIT 90 1/2AIRx1/4MNPT,EA,04,1,0,-1,3.31,,0,,-3.31,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,07243,FIT 90 3/8AIRx3/8MNPT,EA,04,3,0,-3,8.21,,0,,-8.21,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,07244,FIT STR 3/8AIRx3/8MNPT,EA,04,6,0,-6,11.49,,0,,-11.49,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,07253,FITTING 1/4 SHUT OFF PV608-4,EA,04,1,0,-1,7.55,,0,,-7.55,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,07254,FIT TEE 3/8AIRx1/4MNPTx3/8AIR,EA,04,8,0,-8,28.94,,0,,-28.94,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,08290,GAUGE PG-100SG25 LIQUID FILL,EA,04,1,0,-1,13.39,,0,,-13.39,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,09682,FIT STR 3/4MNPTx1/2MNPT,EA,04,2,0,-2,2.96,,0,,-2.96,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,17077,BUSHING REDUCING - 3/8 x 1/4,EA,04,8,0,-8,5.76,,0,,-5.76,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,17090,PLUG 1/4 PIPE S1009-B,EA,04,2,0,-2,0.28,,0,,-0.28,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,17091,PLUG 3/8 PIPE S1009-C,EA,04,5,0,-5,1.1,,0,,-1.1,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,17105,NIPPLE 1/4 CLOSE,EA,04,2,0,-2,0.97,,0,,-0.97,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,17211,BUSHING REDUCING - 3/4 x 1/4,EA,04,2,0,-2,3,,0,,-3,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,401052,TANK AIR 1280/2002D  BIG 2PORT,EA,04,3,0,-3,185.76,,0,,-185.76,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,401230,HOSE AIR 3/8 RUBBER HAB-6-32C,EA,04,4,0,-4,20.52,,0,,-20.52,,-100,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,10,401457,REGULATOR 85 PSI # 90554676,EA,04,1,0,-1,31.71,,0,,-31.71,,-100,,,,,,,,,,,,
