Text0,Text5,Desc,LongDesc,Text89,Text91,Text64,Text19,Text15,Text17,Text66,Text94,Text67,Text68,Text69,Text70,Text71,Text72,Seq,Op,Comp,Desc_txt,LongDesc_txt,Text95,QtPer,SUOM,MC,,RT,,LC,,TC,,,,,,,,,
,,,,,,,,,,,,,,,,,,18-Feb-21,10,40193,GLAD HAND EMERGENCY GHE-SC,RED C/W SCREEN,0,1,EA,2.17,,,,0.00,,2.17,,,,,,,,,
,,,,,,,,,,,,,,,,,,02-Feb-21,10,40195,BOLT GLAD HAND TERM 1497-DBS,1497-DBSFAIRVIEW -12805 SPART,0,2,EA,8.76,,,,0.00,,8.76,,,,,,,,,
,,,,,,,,,,,,,,,,,,11-Mar-21,10,40198,FITTING 1/4 NPT BRASS PETCOCK,241HP-B 150 PSI,0,3,EA,17.48,,,,0.00,,17.48,,,,,,,,,
,,,,,,,,,,,,,,,,,,09-Mar-21,10,40203,VALVE QUICK RELEASE #TV229859, ,0,2,EA,24.64,,,,0.00,,24.64,,,,,,,,,
,,,,,,,,,,,,,,,,,,16-Mar-21,10,402051,BRAKE MAXI 3030 1713030016,"6"" PUSH ROD LIFE SEAL",0,6,EA,461.46,,,,0.00,,461.46,,,,,,,,,
,,,,,,,,,,,,,,,,,,04-Mar-21,10,402195,MODUAL RM-60-NK REV/MATIC,USED ON 4 AXLE LOG TRAILER,0,1,EA,287.38,,,,0.00,,287.38,,,,,,,,,
,,,,,,,,,,,,,,,,,,04-Mar-21,10,402195-1,HARNESS #RM-200508,4-WAY EXTENSION 50',0,1,EA,35.01,,,,0.00,,35.01,,,,,,,,,
,,,,,,,,,,,,,,,,,,04-Mar-21,10,402195-2,HARNESS #RM-60-7 BULLET,RM200521,0,1,EA,63.79,,,,0.00,,63.79,,,,,,,,,
,,,,,,,,,,,,,,,,,,04-Mar-21,10,402532,CONTROL BOX RA016SSA-21LS,SELF STEERL LIFT ONLY,0,1,EA,546.00,,,,0.00,,546.00,,,,,,,,,
,,,,,,,,,,,,,,,,,,11-Mar-21,10,402677,BOLT GLAD HAND TERM 1495-C,3/8 X 3/8 STEEL,0,16,EA,56.32,,,,0.00,,56.32,,,,,,,,,
,,,,,,,,,,,,,,,,,,12-Feb-21,10,40358,940-5 HOSE SPACER,HAB-HANGER-6,0,6,EA,3.36,,,,0.00,,3.36,,,,,,,,,
,,,,,,,,,,,,,,,,,,05-Aug-20,10,40482,BOLT TERMINAL #1495B-A,"1/8"" TO 1/8"" DUMP TRAILER",0,1,EA,2.89,,,,0.00,,2.89,,,,,,,,,
,,,,,,,,,,,,,,,,,,11-Mar-21,10,40511,HOSE AIR 3/8 RUBBER HAB-6-24C,"3/8""X24"" THERMOID",0,12,EA,56.38,,,,0.00,,56.38,,,,,,,,,
,,,,,,,,,,,,,,,,,,16-Mar-21,10,40572,VALVE HT. CONTROL 90054007, ,0,1,EA,40.14,,,,0.00,,40.14,,,,,,,,,
,,,,,,,,,,,,,,,,,,18-Feb-21,10,40839,VALVE PRES. PROTECTION,WM778A1,0,2,EA,28.22,,,,0.00,,28.22,,,,,,,,,
,,,,,,,,,,,,,,,,,,16-Mar-21,10,40846,ROD CONNECTING NEWAY HT CONTRL,48100225,0,1,EA,7.79,,,,0.00,,7.79,,,,,,,,,
,,,,,,,,,,,,,,,,,,09-Mar-21,10,40853,VALVE RELAY 2 PORT N30108BD,"""RG2"" VALVE",0,2,EA,59.54,,,,0.00,,59.54,,,,,,,,,
,,,,,,,,,,,,,,,,,,20-Nov-19,10,40950039,BRACKET RIDE HEIGHT,"1/4"" ALUM. SMOOTH",0,1,EA,6.29,,,,0.00,,6.29,,,,,,,,,
,,,,,,,,,,,,,,,,,,09-Mar-21,11,06037,REFLECTOR AMBER #B491A, ,0,2,EA,1.22,,,,0.00,,1.22,,,,,,,,,
,,,,,,,,,,,,,,,,,,09-Mar-21,11,06038,REFLECTOR RED B491R, ,0,2,EA,1.21,,,,0.00,,1.21,,,,,,,,,
,,,,,,,,,,,,,,,,,,10-Mar-21,11,100121,DECAL DO NOT DRILL,NEED TO BE YELLOW BACKGROUND,0,2,EA,3.80,,,,0.00,,3.80,,,,,,,,,
,,,,,,,,,,,,,,,,,,04-Oct-19,11,100166,"DECAL WARNING ""BWS LIABILITY""","3"" X 7""",0,1,EA,1.88,,,,0.00,,1.88,,,,,,,,,
,,,,,,,,,,,,,,,,,,10-Mar-21,11,100202,DECAL BWS 5-1/2 X 19,NEW BWS,0,1,SET,15.90,,,,0.00,,15.90,,,,,,,,,
,,,,,,,,,,,,,,,,,,10-Mar-21,11,100400,DECAL WARNING AIR SUSPENSION,"6""X3-1/2""",0,1,EA,1.90,,,,0.00,,1.90,,,,,,,,,
,,,,,,,,,,,,,,,,,,24-Feb-21,11,100530,"DECAL WARNING ""FULLY CHARGED","AIR BAGS""",0,1,EA,2.00,,,,0.00,,2.00,,,,,,,,,
,,,,,,,,,,,,,,,,,,24-Feb-21,11,100601,"DECAL WARNING ""METHYL HYDRATE""",THREE IN ONE FRENCH & ENGLISH,0,1,EA,3.10,,,,0.00,,3.10,,,,,,,,,
,,,,,,,,,,,,,,,,,,10-Mar-21,11,100651,"DECAL WARNING ""AXLE RESTRAINT""", ,0,1,EA,1.37,,,,0.00,,1.37,,,,,,,,,
,,,,,,,,,,,,,,,,,,24-Feb-21,11,100746,DECAL CONNECTOR PIN LABEL, ,0,1,EA,0.85,,,,0.00,,0.85,,,,,,,,,
,,,,,,,,,,,,,,,,,,10-Mar-21,11,101160,"DECAL ""NEW BWS""","7"" X 2-3/4"" LAMINATED",0,1,EA,4.73,,,,0.00,,4.73,,,,,,,,,
,,,,,,,,,,,,,,,,,,07-Apr-20,11,101385,DECAL TORQUE AXLE,UBOLTS,0,2,EA,3.90,,,,0.00,,3.90,,,,,,,,,
,,,,,,,,,,,,,,,,,,14-Jan-21,11,101405,DECAL ABS,"2""X1-1/4""",0,1,EA,0.30,,,,0.00,,0.30,,,,,,,,,
,,,,,,,,,,,,,,,,,,11-Jun-20,11,101416,DECAL CAUTION ADJUST LIFT,AXLE RIDE 4TH AXLE,0,1,EA,0.70,,,,0.00,,0.70,,,,,,,,,
,,,,,,,,,,,,,,,,,,19-Feb-21,11,40854,SERIAL TAG CARD STOCK,JH5001 OV,0,1,EA,1.39,,,,0.00,,1.39,,,,,,,,,
