COMPANY NAME;;ADDRESS;;CITY;;PROVINCE;;POSTAL CODE;;LAT;;LON
Spudnik Equipment Company LLC;;110 AIRPORT DRIVE;;PRESQUE ISLE;;ME;;4769;;46.691864239647074;;-68.03241145934474
Star Furniture;;16666 Barker Springs Road;;Houston;;Texas;;77084;;29.78705765384107;;-95.67247365973594
Staraget Mfg (2020) Ltd.;;140 Market Drive;;Milton;;ON;;L9T 3H5;;43.52106785318271;;-79.90265769991345
Stargate Mgf (2020) Ltd.;;140 Market Drive;;Milton;;ON;;L9T 3H5;;43.52106785318271;;-79.90265769991345
Summit Trailer Ltd.;;1160 Commercial Way;;Penticton;;BC;;V2A 3H5;;49.48084381995857;;-119.56854193043192
Summit Trailer Ltd.;;21010 - 108 Ave;;Edmonton;;AB;;T5S 1X4;;53.56722674121361;;-113.74747353215736
Tag Technical Solutions, LLC;;12104 Brookstone Drive;;Knoxville;;TN;;37934;;35.85138876609896;;-84.16629221162508
TEC Equipment Inc.;;PO Box 11272;;Portland;;OR;;97211-0272;;45.61972591981704;;-122.67182771704864
The McLean Company;;6681 Chittenden Road;;Hudson;;OH;;44236;;41.249491109376606;;-81.49717919939442
Total Truck & Equipment;;9122 Rock Island Rd.;;Prince George;;BC;;V2N 5T4;;53.83998851157401;;-122.73429425913874
Trailer Shop Canada;;1399 Advance Rd;;Oakville;;ON;;L6L 6L6;;43.42550043562942;;-79.71720568826662
Trailers Plus;;2223 Drummond Line;;Peterborough;;ON;;K9J 6X8;;44.30226893574614;;-78.24700627290353
Transfinder Equipment Ltd.;;PO Box 2660;;Stony Plain;;AB;;T7Z 1Y2;;53.526637555440225;;-114.00636160786416
Transit Trailer Limited;;3817 County Road 46;;Maidstone;;ON;;N0R 1K0;;42.24480618369598;;-82.95383205946162
Transit Trailer Limited;;150 Exeter Road, Units 40-42;;London;;ON;;N6L 1G9;;42.922325566092205;;-81.26614126924821
Transit Trailer Limited;;7 Pusey Blvd.;;Brantford;;ON;;N3R 2R9;;43.1686294545158;;-80.25646098642773
Transit Trailer Limited;;RR#6 22217 Bloomfield Rd.;;Chatham;;ON;;N7M 5J6;;42.34937055061459;;-82.18095569994338
Transit Trailer Limited;;70 Adam Ferrie Place;;Kitchener;;ON;;N2E 2A9;;43.403139705168044;;-80.46389833280648
Treyco Manufacturing;;1500 Chestnut St-Lebannon;;St-Lebanon;;Pennsylvania;;17042;;40.33691363733855;;-76.43699273067382
Truck Pro;;Highway 10 East;;Yorkton;;SK;;S3N 2X3;;51.192153551374865;;-102.51513199623913
Truck World;;International Ctr. Hall 5 6900 Airport Rd.;;Mississauga;;ON;;L4V 1E8;;43.70358387042502;;-79.63683675942438
USCH - Heartland Events Center;;700 East Stolley Park Road;;Grand Island;;NE;;68801;;40.90557735438951;;-98.33005973065995
USPFO For West Virginia;;50 Armory Road;;Buckhannon;;WV;;26201;;38.97350895354787;;-80.22472450187136
Valley Equipment Ltd.;;289 McLean St.;;Hartland;;NB;;E7P 2K7;;46.30042347476836;;-67.5204234458607
Valley Equipment Ltd.;;178 Greenview Drive;;Hanwell;;NB;;E3C 2A5;;45.91706493134131;;-66.70847370556815
Visionary Solutions LLC;;2553 Quality Lane;;Knoxville;;TN;;37931;;35.96364271997265;;-84.1429479978207
Visionary Solutions,LLC/Interstate Ventures,Inc;;2553 Quality Lane;;Knoxville;;TN;;37931;;35.96369624439261;;-84.14295352538375
VM Transport Ltd.;;P.O. Box 1138 SW 32 14 17W;;Minnedosa;;Manitoba;;R0J 1E0;;50.24596036103617;;-99.86690637273978
Walpole;;32 Industrial Road;;Walpole;;MA;;2081;;42.11812020292206;;-71.26768501713502
Walpole;;32 Industrial Road;;Walpole;;MA;;2081;;42.118088369866825;;-71.2676206441246
Weaco Equip C/O Berkshire Bridge&Iron Co.;;140 E Housatonic St.;;Dalton;;MA;;1226;;42.46817078933288;;-73.15398049994039
Weaco Equipment;;4009 Conrad Weiser Parkway;;Womelsdorf;;PA;;19567;;40.38078056141354;;-76.22515280552868
Wieland Sales Inc.;;3165 Wolf Rd.;;Saginaw;;MI;;48601;;43.45408762280771;;-83.88967811340997
Wieland Truck Center;;3165 Wolf Rd;;Saginaw;;MI;;48601;;43.454064257789156;;-83.88976394409052
Willrett Farm Equipment;;3354 East 500 Road;;Kansas;;IL;;61933;;39.5407212598782;;-87.89385738034485
Willrett Farm Equipment;;7349 Somonauk Rd.;;Hinckley;;IL;;60520-6154;;41.73916408429122;;-88.65756853063928
WILLRETT FARM Equipment;;15008 US Hwy 30;;HINCKLEY;;IL;;60520;;41.7409196609592;;-88.6579122404627
Willrett Farm Equipment C/O TA Truck Stop;;2021 Eatonton Rd.;;Madison;;Georgia;;30650;;33.55228651663717;;-83.47506360014613
Wisconsin Farm Tech. Days - Ebert Enterprises LLC;;E5083 County Road K;;Algoma;;WI;;54201;;44.586927164186605;;-87.51304593181347
World of Asphalt - Marshalling Yard;;1147 S. White River Pkwy E. Dr.;;Indianapolis;;IN;;46225;;39.75310326355947;;-86.17215590185282
World of Asphalt - Marshalling Yard;;1147 S. White River Pkwy E. Dr.;;Indianapolis;;IN;;46225;;39.753144505578234;;-86.17218808835803
WORTHINGTON AG Service;;209 WEST AVENUE, PO BOX 89;;WORTHINGTON;;MO;;63567;;40.41172173557319;;-92.68960873067198
Wrights Trucking and Harvesting;;835 Greenwood Road;;Sidney;;NE;;69162;;41.1456693641594;;-102.954020730654
Wrights Trucking and Harvesting;;835 Greenwood Road;;Sidney;;NE;;69162;;41.1456693641594;;-102.954020730654
WRPS;;2355 Stevens Drive;;Richalnd;;WA;;99354;;46.318078754359895;;-119.28466314038816
Yoder & Frey;;651 West Southport Rd.;;Kissimmee;;FL;;34746;;28.147971212298536;;-81.40901332084647
Zeta Freight Forwarding;;13612 North Unitec Drive;;Laredo;;TX;;78045;;27.691307382968358;;-99.45447427326853
